Date,Sales
2006-03-01,1117
2006-04-01,1094
2006-05-01,1040
2006-06-01,1048
2006-07-01,1070
2006-08-01,1043
2006-09-01,1086
2006-10-01,1205
2006-11-01,1933
2006-12-01,3299
2007-01-01,948
2007-02-01,974
2007-03-01,1188
2007-04-01,1064
2007-05-01,1050
2007-06-01,1096
2007-07-01,1102
2007-08-01,1084
2007-09-01,1102
2007-10-01,1275
2007-11-01,2208
2007-12-01,3253
2008-01-01,1045
2008-02-01,1078
2008-03-01,1185
2008-04-01,1082
2008-05-01,1132
2008-06-01,1045
2008-07-01,1100
2008-08-01,1067
2008-09-01,1063
2008-10-01,1221
2008-11-01,1964
2008-12-01,3125
2009-01-01,1034
2009-02-01,1012
2009-03-01,1099
2009-04-01,1089
2009-05-01,1068
2009-06-01,1025
2009-07-01,1062
2009-08-01,1011
2009-09-01,1067
2009-10-01,1200
2009-11-01,1850
2009-12-01,3013
2010-01-01,958
2010-02-01,1005
2010-03-01,1161
2010-04-01,1065
2010-05-01,1036
2010-06-01,1030
2010-07-01,1077
2010-08-01,1046
2010-09-01,1080
2010-10-01,1262
2010-11-01,2003
2010-12-01,3082
2011-01-01,972
2011-02-01,1030
2011-03-01,1201
2011-04-01,1192
2011-05-01,1073
2011-06-01,1069
2011-07-01,1089
2011-08-01,1074
2011-09-01,1151
2011-10-01,1252
2011-11-01,1964
2011-12-01,3052
2012-01-01,1072
2012-02-01,1192
2012-03-01,1270
2012-04-01,1156
2012-05-01,1186
2012-06-01,1130
2012-07-01,1123
2012-08-01,1126
2012-09-01,1158
2012-10-01,1275
2012-11-01,1945
2012-12-01,2987
2013-01-01,1029
2013-02-01,1079
2013-03-01,1250
2013-04-01,1117
2013-05-01,1127
2013-06-01,1067
2013-07-01,1118
2013-08-01,1156
2013-09-01,1172
2013-10-01,1351
2013-11-01,2156
2013-12-01,3298
2014-01-01,1020
2014-02-01,1091
2014-03-01,1221
2014-04-01,1204
2014-05-01,1178
2014-06-01,1088
2014-07-01,1186
2014-08-01,1189
2014-09-01,1254
2014-10-01,1358
2014-11-01,2140
2014-12-01,3507
2015-01-01,1127
2015-02-01,1157
2015-03-01,1320
2015-04-01,1222
2015-05-01,1232
2015-06-01,1154
2015-07-01,1189
2015-08-01,1196
2015-09-01,1281
2015-10-01,1431
2015-11-01,2168
2015-12-01,3573
2016-01-01,1191
2016-02-01,1221
2016-03-01,1374
2016-04-01,1250
2016-05-01,1243
2016-06-01,1188
2016-07-01,1239
2016-08-01,1239
2016-09-01,1315
2016-10-01,1428
2016-11-01,2234
2016-12-01,3432
2017-01-01,1182
2017-02-01,1181
2017-03-01,1355
2017-04-01,1278
2017-05-01,1247
2017-06-01,1178
2017-07-01,1193
2017-08-01,1243
2017-09-01,1348
2017-10-01,1445
2017-11-01,2239
2017-12-01,3258
2018-01-01,1187
2018-02-01,1230
2018-03-01,1720
2018-04-01,1358
2018-05-01,1438
2018-06-01,1259
2018-07-01,1046
2018-08-01,1100
2018-09-01,1182
2018-10-01,1282
2018-11-01,1986
2018-12-01,2101
2019-01-01,1131
2019-02-01,1088
2019-03-01,1265
2019-04-01,1159
2019-05-01,1235
2019-06-01,1169
2019-07-01,1178
2019-08-01,1269
2019-09-01,1254
2019-10-01,1407
2019-11-01,2064
2019-12-01,2305
2020-01-01,1174
2020-02-01,1200
2020-03-01,862
2020-04-01,360
2020-05-01,1120
2020-06-01,1420
2020-07-01,1409
2020-08-01,1508
2020-09-01,1582
2020-10-01,1674
2020-11-01,2412
2020-12-01,2617
2021-01-01,1646
2021-02-01,1445
2021-03-01,1980
2021-04-01,1777
2021-05-01,1768
2021-06-01,1733
2021-07-01,1812
2021-08-01,1844
2021-09-01,1939
2021-10-01,2063
2021-11-01,2889
2021-12-01,3202
